,brent,usdngn,ttf_jkm,jkm_netback,ghi,dni,temp_c,precip_mm,aerosol_od,fx_reserves,inflation,gas_price,harmattan,fm_dummy,pipeline_down,vandalism_idx,plant_age_gas,gas_to_power,domestic_alloc,eaf,Transmission_Loss_factor,freq_collapse,load_variance,ATC&C,Tech_&_commercial_loss,collection_loss,receivables,Total_E_Billed_by_Disco,Total_E_paid_to_Disco,market_shortfall,disco_collect,Billing_efficiency,nbet_ratio,gas_cf,solar_cf,Gas_constraint,Distribution_constraint,Transmission_constraint
load_variance,-0.3876423582955707,0.25424502238784313,-0.23784690600570985,-0.3059816955878952,0.07900836404359501,0.07178371897434649,0.20427386762478833,-0.15165975894462133,0.042922001321858534,-0.19446287939327553,0.4106434013080252,-0.025371765976930086,0.12416514561674154,,0.0733777928943013,-0.09129754845309719,0.007439723002374633,-0.8460803733373198,0.8008212597002612,0.0584028708573195,0.2277619940559157,0.2981120532114592,1.0,0.044084416889101634,-0.3456573319741418,-0.053790073454922226,0.7566282501862103,0.6685855200800437,0.6535413375706008,0.9640284046527688,-0.10834198497578816,0.10340953630706617,0.08747919764748399,-0.31433605383463015,0.06371486848723262,0.521783157973602,0.7325219815718982,-0.5720228672043953
ATC&C,-0.519724261284532,-0.8551662746414577,-0.2536414286828651,-0.5439107765632549,0.04953817671252867,0.059718494204418354,-0.19438800402416462,-0.1972656618777096,0.394405959481785,-0.45815226256429104,-0.7129567951957315,-0.7798013614126383,0.2993683913335599,,0.21031328441881814,-0.1091942163254977,-0.9248960611344567,0.059253616012417826,-0.08589305213789578,0.7821335218536278,0.41822318855769336,0.5682282786228584,0.044084416889101634,1.0,0.3217038656541767,0.9260834077877265,-0.5531050357225736,-0.6432768734206904,-0.6581216850905829,-0.06800938771974026,-0.9614808341836878,-0.7471409591799846,-0.7988647041379304,-0.28131358715271565,0.17071182058966256,-0.1693414109746669,-0.5642543306852686,0.26240393974563103
Tech_&_commercial_loss,0.27345532689979113,-0.4567262485291511,0.5235433921071725,0.25723655136435436,0.07184968653834897,0.021724857537437903,-0.17264106779687557,0.09012159115912714,0.0749393906638441,-0.07903616581285237,-0.4409262800393121,0.108348276265601,0.009064741094876141,,0.005453091798080526,0.10262217027694244,-0.09437311223481487,0.31271563279031206,-0.6378808710401374,-0.10831242791235798,-0.18163782850745147,-0.13211893345539272,-0.3456573319741418,0.3217038656541767,1.0,0.1969695978579166,-0.3899693438016267,-0.3796355219823142,-0.39525098110053764,-0.3572059660422009,-0.17099492852545145,-0.595605031861488,0.007803607503070206,0.3712838304178093,0.011808027447297597,-0.5227757972584883,-0.38475299308038424,0.20255705962212558
collection_loss,-0.44945448322437553,-0.855727638715879,-0.2875441412764773,-0.5153952624988856,0.028162837487651464,0.0415540417421257,-0.15853372501546587,-0.17930084936683807,0.3346307277787181,-0.2895392104270576,-0.731281280274322,-0.8883486014595746,0.24382787389259156,,0.18223796068645384,-0.09748019542557387,-0.9547111798742776,0.12457330128810445,-0.1335325756481329,0.8515813237948198,0.4432718685042782,0.5302616402904744,-0.053790073454922226,0.9260834077877265,0.1969695978579166,1.0,-0.6099284453924568,-0.6834480221789678,-0.6948983469555756,-0.14264936862650093,-0.9069321969566126,-0.6511307107058917,-0.8729479439232757,-0.25971082915759314,0.14277208074764322,-0.2168313654830902,-0.6077796185764053,0.37845881153865707
receivables,0.04444615849672922,0.7132620896090429,0.03705193528302653,0.1009096233597036,0.03208429307781273,0.04346539610613477,0.24467267132346784,-0.03650757790844313,-0.17840766167890734,0.1440683209787192,0.7852205773897029,0.4787245910740137,-0.046616760093803285,,-0.029333380406044027,0.006506478757531169,0.581488436397081,-0.7246027754624169,0.6892653664488466,-0.3980058565605494,-0.09199905435269816,-0.07061212580086972,0.7566282501862103,-0.5531050357225736,-0.3899693438016267,-0.6099284453924568,1.0,0.9854260214626586,0.9838452637210813,0.826322340053077,0.509801603164034,0.4217244127827218,0.6031126887156775,-0.08338731018512657,-0.013349233132786605,0.5270264895590752,0.9897320568757723,-0.6900719937727393
Total_E_Billed_by_Disco,0.1183298122153973,0.7523322432631845,0.07364260452896267,0.17587154098148286,0.027107211189683168,0.029635929855078718,0.2599318300747453,0.009149911488199929,-0.23471415089294054,0.27990706284122246,0.7866188866181816,0.5488171113473874,-0.10493073120600054,,-0.07132609946296185,0.0520200239207879,0.6719066478831135,-0.6646209926324343,0.6274915696861578,-0.4880409770630716,-0.20004163485570792,-0.2074297349346307,0.6685855200800437,-0.6432768734206904,-0.3796355219823142,-0.6834480221789678,0.9854260214626586,1.0,0.9986820545020527,0.7579704394380885,0.6000255695221105,0.5025830208301172,0.634419770427027,0.02511019270869249,-0.04930069039405898,0.4987996885553707,0.9940504102297653,-0.621439065890861
Total_E_paid_to_Disco,0.13266314469044074,0.7623170073714557,0.07903046100804627,0.18691002006875293,0.016275812838149006,0.022887174125109898,0.2520787195673946,0.013539721973657623,-0.23869281149173258,0.28311238202898426,0.7976567613822687,0.5490225727906681,-0.11147243202526101,,-0.07010791960867055,0.046980415439789355,0.6776470766108074,-0.6539210096759177,0.6226224109689676,-0.48856329428144674,-0.20051130645393128,-0.20382734958678778,0.6535413375706008,-0.6581216850905829,-0.39525098110053764,-0.6948983469555756,0.9838452637210813,0.9986820545020527,1.0,0.7460445653967452,0.6156141308588465,0.5112309596499364,0.6416006475699181,0.016350893646388844,-0.05238201435648623,0.49634562493690143,0.9906341334605312,-0.6186571047951117
market_shortfall,-0.32401117015407294,0.2800945570115122,-0.206493595792188,-0.2428186798021256,0.04768167098541217,0.05988735658821453,0.19399583941991802,-0.12020944237171682,-0.03417029483059535,-0.04980914709036461,0.4085892181722446,0.009599756157641578,0.07243529520462687,,0.07696250571341888,-0.05137888490771823,0.08665118536643968,-0.8775011011629387,0.8234962117118232,-0.015335026574225771,0.07530827237160284,0.21888924308302482,0.9640284046527688,-0.06800938771974026,-0.3572059660422009,-0.14264936862650093,0.826322340053077,0.7579704394380885,0.7460445653967452,1.0,0.0011411524240678341,0.13908398930750338,0.12698995215701295,-0.2538022051567817,0.047447319934926964,0.5493912597274058,0.8192503368693796,-0.6169193397752285
disco_collect,0.6212049220612543,0.830420266491699,0.3570651388823687,0.60857265881534,-0.0484968886655031,-0.04943924289506958,0.15910012928117354,0.1782636402080858,-0.36231667947713053,0.41819204144485866,0.7029755304036385,0.817276615895266,-0.2515587762790003,,-0.1996083965263755,0.11791490524873104,0.929445365108994,-0.0006060532610346944,-0.03064651633537066,-0.7678420173503231,-0.38299909416864925,-0.5395314786539565,-0.10834198497578816,-0.9614808341836878,-0.17099492852545145,-0.9069321969566126,0.509801603164034,0.6000255695221105,0.6156141308588465,0.0011411524240678341,1.0,0.609539168835428,0.841536042250851,0.3112471817494095,-0.1417155828588515,0.061679229829372254,0.5165436698024103,-0.27357234976866035
Billing_efficiency,0.12348628864977039,0.6350690946478366,-0.1053823564499779,0.2239223540678636,-0.07415566280771044,-0.13927269978268692,0.24962167821085712,0.23742723758161363,-0.31070735200615834,0.4977269214313875,0.4908720155782281,0.43811192363483575,-0.33323994333247675,,-0.28777708903272337,-0.008142472075962987,0.6259398369652642,-0.12157371826025583,0.29131965846295443,-0.565963403570885,-0.2965773495719797,-0.5284733016486611,0.10340953630706617,-0.7471409591799846,-0.595605031861488,-0.6511307107058917,0.4217244127827218,0.5025830208301172,0.5112309596499364,0.13908398930750338,0.609539168835428,1.0,0.38707461906914886,0.1900982534861406,-0.26924662986508674,0.3682554831529841,0.45538554314369595,0.041393328599996546
